JobID|Elapsed|Eligible|End|ReqMem|ReqCPUS|CPUTime|Submit|Start|MaxVMSize|State|User|NodeList|Partition|
5767888_2|9-22:59:54|2023-05-23T15:30:14|2023-06-02T19:23:25|4Gc|1|9-22:59:54|2023-05-23T15:30:13|2023-05-23T20:23:31||COMPLETED|mahaveer.prasad|cn16|serial-short|
5767888_3|10-00:00:25|2023-05-23T15:30:14|2023-06-02T20:24:26|4Gc|1|10-00:00:25|2023-05-23T15:30:13|2023-05-23T20:24:01||TIMEOUT|mahaveer.prasad|cn15|serial-short|
5767888_4|9-01:04:25|2023-05-23T15:30:14|2023-06-01T21:29:26|4Gc|1|9-01:04:25|2023-05-23T15:30:13|2023-05-23T20:25:01||COMPLETED|mahaveer.prasad|cn16|serial-short|
5768505_2|8-23:03:11|2023-05-24T14:36:13|2023-06-02T13:39:24|6Gc|1|8-23:03:11|2023-05-24T14:36:13|2023-05-24T14:36:13||COMPLETED|mahaveer.prasad|cn17|serial-short|
5768505_3|9-23:33:00|2023-05-24T14:36:13|2023-06-03T14:09:13|6Gc|1|9-23:33:00|2023-05-24T14:36:13|2023-05-24T14:36:13||COMPLETED|mahaveer.prasad|cn17|serial-short|
5768505_4|9-04:52:21|2023-05-24T14:36:13|2023-06-02T19:28:34|6Gc|1|9-04:52:21|2023-05-24T14:36:13|2023-05-24T14:36:13||COMPLETED|mahaveer.prasad|cn17|serial-short|
5768527_2|10-00:00:10|2023-05-24T14:40:30|2023-06-03T14:40:40|6Gc|1|10-00:00:10|2023-05-24T14:40:30|2023-05-24T14:40:30||TIMEOUT|mahaveer.prasad|cn20|serial-short|
5768527_3|10-00:00:10|2023-05-24T14:40:30|2023-06-03T14:40:40|6Gc|1|10-00:00:10|2023-05-24T14:40:30|2023-05-24T14:40:30||TIMEOUT|mahaveer.prasad|cn20|serial-short|
5768527_4|8-22:32:07|2023-05-24T14:40:30|2023-06-02T13:12:37|6Gc|1|8-22:32:07|2023-05-24T14:40:30|2023-05-24T14:40:30||COMPLETED|mahaveer.prasad|cn20|serial-short|
5769136|10-00:00:22|2023-05-26T14:07:32|2023-06-05T18:00:59|180Gn|1|10-00:00:22|2023-05-26T14:07:32|2023-05-26T18:00:37||TIMEOUT|krithin.g|cn21|serial-short|
5770483_200|2-06:23:37|2023-05-28T23:25:40|2023-06-02T12:29:47|1Gc|1|2-06:23:37|2023-05-28T23:25:40|2023-05-31T06:06:10||COMPLETED|jitendra.kethepalli|cn19|serial-short|
5770722|3-16:45:40|2023-05-29T14:24:17|2023-06-02T07:11:20|5Gc|128|473-09:25:20|2023-05-29T14:24:17|2023-05-29T14:25:40||CANCELLED by 10360|sanjay.cp|cn[45,48-50]|parallel-long|
5770723|2-16:56:38|2023-05-29T14:44:29|2023-06-01T07:41:51|5Gc|192|519-13:13:36|2023-05-29T14:44:29|2023-05-29T14:45:13||CANCELLED by 10360|sanjay.cp|cn[36-41]|parallel-long|
5770483_132|2-07:30:53|2023-05-28T23:25:40|2023-06-01T00:08:53|1Gc|1|2-07:30:53|2023-05-28T23:25:40|2023-05-29T16:38:00||COMPLETED|jitendra.kethepalli|cn18|serial-short|
5770483_165|2-06:25:59|2023-05-28T23:25:40|2023-06-01T10:13:15|1Gc|1|2-06:25:59|2023-05-28T23:25:40|2023-05-30T03:47:16||COMPLETED|jitendra.kethepalli|cn20|serial-short|
5770483_166|2-06:23:04|2023-05-28T23:25:40|2023-06-01T10:54:31|1Gc|1|2-06:23:04|2023-05-28T23:25:40|2023-05-30T04:31:27||COMPLETED|jitendra.kethepalli|cn17|serial-short|
5770483_167|2-06:45:33|2023-05-28T23:25:40|2023-06-01T14:55:10|1Gc|1|2-06:45:33|2023-05-28T23:25:40|2023-05-30T08:09:37||COMPLETED|jitendra.kethepalli|cn17|serial-short|
5770859|2-00:21:47|2023-05-30T10:03:16|2023-06-01T10:25:04|5Gc|192|386-21:42:24|2023-05-30T10:03:16|2023-05-30T10:03:17||OUT_OF_MEMORY|sanjay.cp|cn[30-35]|parallel-long|
5770880|1-14:45:29|2023-05-30T13:37:38|2023-06-01T11:09:05|5Gc|128|206-17:01:52|2023-05-30T13:37:38|2023-05-30T20:23:36||CANCELLED by 10358|rajpoot.rajendra|cn[51-54]|parallel-long|
